Wykorzystany algorytm,Rozmiar plecaka,Liczba przedmiotów,Czas obliczeń [us]
Algorytm siłowy,100,2,25
Algorytm zachłanny,100,2,53
Algorytm programowania dynamicznego,100,2,150
Algorytm siłowy,100,3,49
Algorytm zachłanny,100,3,18
Algorytm programowania dynamicznego,100,3,186
Algorytm siłowy,100,4,64
Algorytm zachłanny,100,4,22
Algorytm programowania dynamicznego,100,4,240
Algorytm siłowy,100,5,126
Algorytm zachłanny,100,5,20
Algorytm programowania dynamicznego,100,5,276
Algorytm siłowy,100,6,267
Algorytm zachłanny,100,6,18
Algorytm programowania dynamicznego,100,6,330
Algorytm siłowy,100,7,587
Algorytm zachłanny,100,7,20
Algorytm programowania dynamicznego,100,7,412
Algorytm siłowy,100,8,1286
Algorytm zachłanny,100,8,21
Algorytm programowania dynamicznego,100,8,427
Algorytm siłowy,100,9,3482
Algorytm zachłanny,100,9,25
Algorytm programowania dynamicznego,100,9,554
Algorytm siłowy,100,10,6410
Algorytm zachłanny,100,10,24
Algorytm programowania dynamicznego,100,10,718
Algorytm siłowy,100,11,13465
Algorytm zachłanny,100,11,38
Algorytm programowania dynamicznego,100,11,729
Algorytm siłowy,100,12,30050
Algorytm zachłanny,100,12,40
Algorytm programowania dynamicznego,100,12,669
Algorytm siłowy,100,13,62630
Algorytm zachłanny,100,13,41
Algorytm programowania dynamicznego,100,13,1252
Algorytm siłowy,100,14,139521
Algorytm zachłanny,100,14,42
Algorytm programowania dynamicznego,100,14,1389
Algorytm siłowy,100,15,290100
Algorytm zachłanny,100,15,50
Algorytm programowania dynamicznego,100,15,1079
Algorytm siłowy,100,16,613422
Algorytm zachłanny,100,16,29
Algorytm programowania dynamicznego,100,16,1336
Algorytm siłowy,1100,2,37
Algorytm zachłanny,1100,2,16
Algorytm programowania dynamicznego,1100,2,1263
Algorytm siłowy,1100,3,185
Algorytm zachłanny,1100,3,21
Algorytm programowania dynamicznego,1100,3,1875
Algorytm siłowy,1100,4,62
Algorytm zachłanny,1100,4,17
Algorytm programowania dynamicznego,1100,4,2452
Algorytm siłowy,1100,5,230
Algorytm zachłanny,1100,5,13
Algorytm programowania dynamicznego,1100,5,3267
Algorytm siłowy,1100,6,585
Algorytm zachłanny,1100,6,14
Algorytm programowania dynamicznego,1100,6,3612
Algorytm siłowy,1100,7,1083
Algorytm zachłanny,1100,7,29
Algorytm programowania dynamicznego,1100,7,4262
Algorytm siłowy,1100,8,2071
Algorytm zachłanny,1100,8,30
Algorytm programowania dynamicznego,1100,8,4806
Algorytm siłowy,1100,9,4211
Algorytm zachłanny,1100,9,24
Algorytm programowania dynamicznego,1100,9,5756
Algorytm siłowy,1100,10,7801
Algorytm zachłanny,1100,10,53
Algorytm programowania dynamicznego,1100,10,10347
Algorytm siłowy,1100,11,16423
Algorytm zachłanny,1100,11,38
Algorytm programowania dynamicznego,1100,11,11418
Algorytm siłowy,1100,12,35710
Algorytm zachłanny,1100,12,28
Algorytm programowania dynamicznego,1100,12,8409
Algorytm siłowy,1100,13,65566
Algorytm zachłanny,1100,13,27
Algorytm programowania dynamicznego,1100,13,8512
Algorytm siłowy,1100,14,137382
Algorytm zachłanny,1100,14,30
Algorytm programowania dynamicznego,1100,14,8436
Algorytm siłowy,1100,15,287641
Algorytm zachłanny,1100,15,30
Algorytm programowania dynamicznego,1100,15,9424
Algorytm siłowy,1100,16,614460
Algorytm zachłanny,1100,16,29
Algorytm programowania dynamicznego,1100,16,11485
Algorytm siłowy,2100,2,34
Algorytm zachłanny,2100,2,22
Algorytm programowania dynamicznego,2100,2,2562
Algorytm siłowy,2100,3,183
Algorytm zachłanny,2100,3,19
Algorytm programowania dynamicznego,2100,3,4244
Algorytm siłowy,2100,4,450
Algorytm zachłanny,2100,4,36
Algorytm programowania dynamicznego,2100,4,4619
Algorytm siłowy,2100,5,349
Algorytm zachłanny,2100,5,25
Algorytm programowania dynamicznego,2100,5,6325
Algorytm siłowy,2100,6,723
Algorytm zachłanny,2100,6,34
Algorytm programowania dynamicznego,2100,6,11724
